id,key,value,type
75390099,ref,1,regular
75390099,historic,boundary_stone,regular
75390129,source,tiger:boundaries,regular
75390163,source,tiger:boundaries,regular
75390202,source,tiger:boundaries,regular
75390209,source,tiger:boundaries,regular
75390220,source,tiger:boundaries,regular
75390223,source,tiger:boundaries,regular
75390224,source,tiger:boundaries,regular
75390230,source,tiger:boundaries,regular
75390237,source,tiger:boundaries,regular
75390248,source,tiger:boundaries,regular
75390250,source,tiger:boundaries,regular
75390258,source,tiger:boundaries,regular
75390265,source,tiger:boundaries,regular
75390270,source,tiger:boundaries,regular
75390276,source,tiger:boundaries,regular
75390283,source,tiger:boundaries,regular
75390289,source,tiger:boundaries,regular
75390295,source,tiger:boundaries,regular
75390296,source,tiger:boundaries,regular
75390299,source,tiger:boundaries,regular
75390304,source,tiger:boundaries,regular
75390306,source,tiger:boundaries,regular
75390311,source,tiger:boundaries,regular
75390316,source,tiger:boundaries,regular
75390322,source,tiger:boundaries,regular
75390327,source,tiger:boundaries,regular
75390333,source,tiger:boundaries,regular
75390340,source,tiger:boundaries,regular
75390342,source,tiger:boundaries,regular
75390347,source,tiger:boundaries,regular
75390352,source,tiger:boundaries,regular
75390356,source,tiger:boundaries,regular
75390368,source,tiger:boundaries,regular
75390376,source,tiger:boundaries,regular
75390382,source,tiger:boundaries,regular
75390388,source,tiger:boundaries,regular
75390394,source,tiger:boundaries,regular
75390399,source,tiger:boundaries,regular
75390405,source,tiger:boundaries,regular
75390410,source,tiger:boundaries,regular
75390426,source,tiger:boundaries,regular
75395825,source,tiger:boundaries,regular
75444691,source,tiger:boundaries,regular
75453189,source,tiger:boundaries,regular
75453286,source,tiger:boundaries,regular
75453301,source,tiger:boundaries,regular
75453400,source,tiger:boundaries,regular
75453406,source,tiger:boundaries,regular
75453625,source,tiger:boundaries,regular
75453637,source,tiger:boundaries,regular
75453664,source,tiger:boundaries,regular
75453734,source,tiger:boundaries,regular
75453792,source,tiger:boundaries,regular
75453851,source,tiger:boundaries,regular
75453860,source,tiger:boundaries,regular
105203867,railway,level_crossing,regular
105204017,railway,level_crossing,regular
105206632,railway,level_crossing,regular
105210818,railway,level_crossing,regular
105211275,highway,traffic_signals,regular
105211504,railway,level_crossing,regular
105211876,railway,level_crossing,regular
105211878,railway,level_crossing,regular
105212267,railway,level_crossing,regular
105213742,railway,level_crossing,regular
105213781,railway,buffer_stop,regular
105214464,railway,level_crossing,regular
105214699,highway,traffic_signals,regular
105215612,railway,buffer_stop,regular
105215644,railway,buffer_stop,regular
105232909,highway,traffic_signals,regular
105236788,railway,level_crossing,regular
105238282,highway,traffic_signals,regular
105238469,highway,traffic_signals,regular
105238975,noexit,yes,regular
105239327,railway,level_crossing,regular
105241312,railway,level_crossing,regular
105246580,railway,level_crossing,regular
105247169,railway,level_crossing,regular
105247745,railway,buffer_stop,regular
105249815,railway,level_crossing,regular
105250346,highway,traffic_signals,regular
105255739,railway,level_crossing,regular
105259837,railway,level_crossing,regular
105262493,railway,level_crossing,regular
105264733,highway,traffic_signals,regular
105264735,highway,traffic_signals,regular
105269806,railway,level_crossing,regular
105273752,railway,level_crossing,regular
105277396,railway,level_crossing,regular
109771183,railway,level_crossing,regular
109798609,highway,traffic_signals,regular
109798644,highway,traffic_signals,regular
109803256,highway,traffic_signals,regular
109803265,highway,traffic_signals,regular
109803282,highway,traffic_signals,regular
109803342,name,Booths Corner,regular
109803342,highway,traffic_signals,regular
109803585,name,Ogden Corner,regular
109803585,highway,traffic_signals,regular
109813234,highway,stop,regular
109813300,highway,stop,regular
109813441,highway,stop,regular
109813534,highway,traffic_signals,regular
109824916,highway,stop,regular
109826734,highway,traffic_signals,regular
109829035,highway,stop,regular
109840003,railway,level_crossing,regular
109845555,highway,turning_circle,regular
109881221,highway,traffic_signals,regular
109889665,highway,traffic_signals,regular
109893603,highway,traffic_signals,regular
109893624,highway,traffic_signals,regular
109895579,highway,traffic_signals,regular
109994274,highway,turning_circle,regular
109997528,highway,turning_circle,regular
110042707,highway,stop,regular
110056805,highway,stop,regular
110124750,highway,turning_circle,regular
110148303,highway,stop,regular
110241876,highway,turning_circle,regular
110252055,highway,turning_circle,regular
110261099,highway,turning_circle,regular
136033035,highway,turning_circle,regular
136066081,highway,turning_circle,regular
136073706,highway,turning_circle,regular
136123559,highway,turning_circle,regular
136185905,highway,traffic_signals,regular
136242710,highway,turning_circle,regular
136269873,highway,turning_circle,regular
136275159,highway,turning_circle,regular
136303045,highway,turning_circle,regular
136313301,highway,turning_circle,regular
136337580,highway,turning_circle,regular
136362112,highway,turning_circle,regular
136373957,source,Yahoo,regular
136373957,highway,turning_circle,regular
136389511,highway,turning_circle,regular
136417026,highway,turning_circle,regular
136442022,highway,turning_circle,regular
136455325,barrier,gate,regular
136477631,source,Yahoo,regular
136477631,highway,turning_circle,regular
136498534,source,Yahoo,regular
136498534,highway,turning_circle,regular
136521341,highway,turning_circle,regular
136568956,highway,turning_circle,regular
136573664,highway,turning_circle,regular
136659722,highway,turning_circle,regular
157543980,ele,7,regular
157543980,name,Nanticoke Acres,regular
157543980,is_in,"Sussex,Delaware,Del.,DE,USA",regular
157543980,place,hamlet,regular
157543980,id,214367,gnis
157543980,Class,Populated Place,gnis
157543980,County,Sussex,gnis
157543980,ST_num,10,gnis
157543980,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157543980,ST_alpha,DE,gnis
157543980,County_num,005,gnis
157543994,ele,1,regular
157543994,Class,Populated Place,gnis
157543994,County,Sussex,gnis
157543994,County_num,005,gnis
157543994,id,217010,gnis
157543994,ST_alpha,DE,gnis
157543994,ST_num,10,gnis
157543994,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157543994,is_in,"Sussex,Delaware,Del.,DE,USA",regular
157543994,name,North Shores,regular
157543994,place,hamlet,regular
157543994,wikidata,Q30622394,regular
157544012,ele,6,regular
157544012,name,Long Point Landing,regular
157544012,is_in,"Kent,Delaware,Del.,DE,USA",regular
157544012,place,hamlet,regular
157544012,id,217061,gnis
157544012,Class,Populated Place,gnis
157544012,County,Kent,gnis
157544012,ST_num,10,gnis
157544012,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157544012,ST_alpha,DE,gnis
157544012,County_num,001,gnis
